item_id,b,a,c
1,0.7053936330825823,1.038370907825498,0.2025863404017433
2,0.8937853059395856,0.9014731195738759,0.22283631374540885
3,-0.15159668188748843,0.9685752770818247,0.2371418256185954
4,0.5261894326334299,0.5886099787806636,0.2077211516565452
5,0.40868873306093517,1.1062343190645914,0.20660306709035348
6,0.07979058560518373,3.7072929663947503,0.2510014606030543
7,0.4385686124674843,1.5492751944393595,0.24789218741992688
8,0.31369557396814657,0.8508294689659897,0.24357111796300787
9,-0.05970531112322535,1.251545130716639,0.1895561674305647
10,-1.28096576192529,1.4181899000049543,0.21089119318623697
11,0.7311179682534464,0.6787232964700376,0.22325754825826738
12,0.40146774878116276,1.0778562500418678,0.24750359258669738
13,-1.5638416737171439,0.9108727330297712,0.22926879214632992
14,-0.030509862077393243,1.3122142712569242,0.18961127714382445
15,-0.9014697642241475,0.9966661626436766,0.25717759401977497
16,0.6094751683003157,1.5030896423691997,0.28460444280542163
17,-0.7266705015355127,0.747738157481975,0.2201372432069902
18,0.31586821017917993,1.5214839537140337,0.2639216560389045
19,-0.2355854153769831,0.7709851115738714,0.23954915034185997
20,0.5158146426912639,1.154353430146826,0.20262541282518018
21,0.02913681897208424,1.3610454555882046,0.24322061352577262
22,0.9180782413166084,0.547419816419412,0.25574535666636344
23,-0.7412959700128203,0.7712777083973041,0.22628594012267053
24,0.14114892938333193,0.6669647062249173,0.19078651369660019
25,0.8554378949145347,0.79696614546709,0.197111019091962
26,0.8496663930649944,1.4722011743508894,0.21607508479904833
27,0.21152846693874416,0.991203634462637,0.18299434415045432
28,-0.7391560882243836,0.9633237872552863,0.22106105786080646
29,-0.12566313735045606,1.0209876647878777,0.2615086683045655
30,-0.26387259504231453,0.5308300132077923,0.202748636956391
